stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Kyang\source\repos\pi\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.08621] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08632] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08638] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08644] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08650] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08656] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08662] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08668] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08674] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.08683] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.08745] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.08753] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.25427] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.29760] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.29779] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.29790] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.29809] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.29826] Returning d3d_display: 0000017B0AF9DA10
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.29842] al_display=0000017B0AF9DA10
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.29856] al_display->vt=0000017B0945A0F0
system   D            wsystem.c:834  maybe_parent_dir                 [   0.29908] Also searching C:\Users\Kyang\source\repos\pi\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.29960] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.29975] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.30405] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.30419] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.30443] added dtor for bitmap 0000017B094CF430, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.30501] added dtor for bitmap 0000017B094E9150, func 00007FFF62CC118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30832] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30847] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30865] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30872] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30879] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30889] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30902] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30911] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.30923] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.30936] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.30946] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.30956] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.30973] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.31014] added dtor for bitmap 0000017B0AFB7DF0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31078] added dtor for sub_bitmap 0000017B0B005950, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31100] added dtor for sub_bitmap 0000017B0B005B40, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31117] added dtor for sub_bitmap 0000017B0B005D30, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31133] added dtor for sub_bitmap 0000017B094FA4B0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31148] added dtor for sub_bitmap 0000017B094FA6A0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31157] added dtor for sub_bitmap 0000017B094FA890, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31177] added dtor for sub_bitmap 0000017B094FAA80, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31190] added dtor for sub_bitmap 0000017B094FAC70, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31206] added dtor for sub_bitmap 0000017B094FAE60, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31213] added dtor for sub_bitmap 0000017B094FB050, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31223] added dtor for sub_bitmap 0000017B094FB240, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31231] added dtor for sub_bitmap 0000017B094FB430, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31237] added dtor for sub_bitmap 0000017B094FB620, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31244] added dtor for sub_bitmap 0000017B094FBA50, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31251] added dtor for sub_bitmap 0000017B094FBE30, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31258] added dtor for sub_bitmap 0000017B094FBC40, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31267] added dtor for sub_bitmap 0000017B094FC020, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31275] added dtor for sub_bitmap 0000017B094FC5F0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31284] added dtor for sub_bitmap 0000017B094FB860, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31302] added dtor for sub_bitmap 0000017B094FC210, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31310] added dtor for sub_bitmap 0000017B094FC400, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31317] added dtor for sub_bitmap 0000017B094CE9A0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31324] added dtor for sub_bitmap 0000017B094CD070, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31333] added dtor for sub_bitmap 0000017B094CD450, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31342] added dtor for sub_bitmap 0000017B094CD260, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31350] added dtor for sub_bitmap 0000017B094CE5C0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31358] added dtor for sub_bitmap 0000017B094CE1E0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31371] added dtor for sub_bitmap 0000017B094CE3D0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31384] added dtor for sub_bitmap 0000017B094CE7B0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31411] added dtor for sub_bitmap 0000017B094CDC10, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31441] added dtor for sub_bitmap 0000017B094CEB90, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31467] added dtor for sub_bitmap 0000017B094CED80, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31574] added dtor for sub_bitmap 0000017B094CD640, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31600] added dtor for sub_bitmap 0000017B094CD830, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31615] added dtor for sub_bitmap 0000017B094CDA20, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31626] added dtor for sub_bitmap 0000017B094CDE00, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31636] added dtor for sub_bitmap 0000017B094CDFF0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31646] added dtor for sub_bitmap 0000017B0B006350, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31655] added dtor for sub_bitmap 0000017B0B006EF0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31666] added dtor for sub_bitmap 0000017B0B0070E0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31675] added dtor for sub_bitmap 0000017B0B006B10, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31683] added dtor for sub_bitmap 0000017B0B006D00, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31694] added dtor for sub_bitmap 0000017B0B0076B0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31703] added dtor for sub_bitmap 0000017B0B007C80, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31713] added dtor for sub_bitmap 0000017B0B006730, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31723] added dtor for sub_bitmap 0000017B0B0072D0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31732] added dtor for sub_bitmap 0000017B0B0074C0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31742] added dtor for sub_bitmap 0000017B0B0078A0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31750] added dtor for sub_bitmap 0000017B0B006920, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31758] added dtor for sub_bitmap 0000017B0B007A90, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31771] added dtor for sub_bitmap 0000017B0B005F70, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31779] added dtor for sub_bitmap 0000017B0B006160, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31787] added dtor for sub_bitmap 0000017B0B006540, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31802] added dtor for sub_bitmap 0000017B0B009D20, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31813] added dtor for sub_bitmap 0000017B0B00A6D0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31822] added dtor for sub_bitmap 0000017B0B009370, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31831] added dtor for sub_bitmap 0000017B0B009560, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31842] added dtor for sub_bitmap 0000017B0B009750, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31937] added dtor for sub_bitmap 0000017B0B00A8C0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31951] added dtor for sub_bitmap 0000017B0B00A100, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31961] added dtor for sub_bitmap 0000017B0B00A4E0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31970] added dtor for sub_bitmap 0000017B0B00AAB0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31978] added dtor for sub_bitmap 0000017B0B00A2F0, func 00007FFF62CC118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.31986] added dtor for sub_bitmap 0000017B0B009940, func 00007FFF62CC118B
