stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Kyang\source\repos\pi\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.15688] added dtor for sub_bitmap 0000021FC4D79710, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15695] added dtor for sub_bitmap 0000021FC4D79900, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15701] added dtor for sub_bitmap 0000021FC4D79AF0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15708] added dtor for sub_bitmap 0000021FC4D79CE0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15714] added dtor for sub_bitmap 0000021FC4D79ED0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15721] added dtor for sub_bitmap 0000021FC4D7A0C0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15728] added dtor for sub_bitmap 0000021FC4D7A4F0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15734] added dtor for sub_bitmap 0000021FC4D7ACB0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15741] added dtor for sub_bitmap 0000021FC4D7B090, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15747] added dtor for sub_bitmap 0000021FC4D7A8D0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15754] added dtor for sub_bitmap 0000021FC4D7AEA0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15762] added dtor for sub_bitmap 0000021FC4D7A6E0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15768] added dtor for sub_bitmap 0000021FC4D7AAC0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15775] added dtor for sub_bitmap 0000021FC4D7A300, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15781] added dtor for sub_bitmap 0000021FC4D7D0D0, func 00007FFD5418118B
